Date,Nifty Returns,Nifty Auto,NIFTY ENERGY,Nifty FMCG,Nifty IT,Nifty Media,Nifty Metal,Nifty PSU Bank,Nifty Realty,NIFTY BANK,NIFTY MEDIA,NIFTY CONSUMPTION,NIFTY MNC,NIFTY PSE,NIFTY COMMODITIES,NIFTY SERV SECTOR
2022-09-22,1.6739366661589172,0.06899707,-0.030667245,-0.29302543,-0.024041262,0.103393674,0.29659867,0.15427633,-0.28410017,-0.04407715,0.0860155,-0.08513672,-0.141156,0.16718611,-0.07882529,-0.44700277
2022-09-23,1.7512778969426779,0.03667818,-0.027115941,-0.2842398,-0.024699382,0.09966695,0.3228468,0.14298399,-0.26148763,0.016024178,0.06760123,-0.012482765,-0.15333517,0.17199324,-0.057863392,-0.4032822
2022-09-26,0.08534213639318869,0.017120428,-0.025932657,-0.28353265,-0.026747994,0.09877546,0.34201872,0.13967809,-0.24559464,0.082100324,0.0527604,0.050963253,-0.15888529,0.19207212,-0.018005647,-0.38517478
2022-09-27,0.8643625646398356,0.026244048,-0.0020356008,-0.2830734,-0.02852074,0.103898905,0.327241,0.14178753,-0.26188087,0.12539648,0.04243935,0.14052655,-0.1776545,0.1979757,-0.018050134,-0.38487056
2022-09-28,0.2621794615209919,0.04231885,0.025847055,-0.27861807,-0.028700925,0.116330385,0.3278891,0.15019889,-0.27337244,0.11651858,0.044780686,0.24770191,-0.21293557,0.1916699,-0.032335807,-0.45012262
2022-09-29,-1.4799681251430117,0.039770126,0.052093778,-0.2683725,-0.029704496,0.13571633,0.3303711,0.16495274,-0.27593037,-0.0023478237,0.0669076,0.34735215,-0.24274679,0.15516652,-0.077743,-0.48427197
2022-09-30,1.1862971717057607,0.0148464665,0.099709906,-0.2847706,-0.03114152,0.15707001,0.32293028,0.18062295,-0.30690178,-0.12182815,0.10904832,0.412029,-0.26335606,0.1484901,-0.1571332,-0.5724321
2022-10-03,-2.0654322004329315,-0.02701356,0.14534937,-0.288023,-0.033247177,0.17271349,0.33086494,0.19583413,-0.35132387,-0.12923302,0.1568524,0.44081753,-0.25717902,0.1651237,-0.22704948,-0.5695494
2022-10-04,-0.27502538394324566,-0.04657676,0.19019692,-0.31290016,-0.032734632,0.17096488,0.3266139,0.20630138,-0.3715703,-0.061458535,0.18632767,0.46137887,-0.23357704,0.18104614,-0.2670816,-0.5287074
2022-10-06,0.12917522268570739,-0.045323163,0.22456561,-0.3072357,-0.030754957,0.15095001,0.32561046,0.21340872,-0.3694091,0.04057922,0.18023917,0.44298676,-0.179114,0.22211182,-0.252345,-0.4350376
2022-10-07,0.43703725592919523,-0.02725607,0.26093942,-0.3093,-0.029633157,0.10677795,0.32324457,0.21511482,-0.3285731,0.10583826,0.14393458,0.44588143,-0.11611221,0.24758947,-0.19669887,-0.446367
